idx	thread	op	client_id	n_objects	bytes	endpoint	file	error	start	first_byte	end	duration_ns
0	11	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	nK1n1hAK/1.eeNwa3j76l4YSfbD.rnd		2024-08-15T15:58:57.980172969Z		2024-08-15T15:59:06.177362816Z	8197189847
1	5	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	bGlLrsqw/1.yHIfiorPbdN8HA74.rnd		2024-08-15T15:58:57.980238616Z		2024-08-15T15:59:07.030527082Z	9050288466
2	4	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	MX4oeDbF/1.YtQzrIbEd257Wvcd.rnd		2024-08-15T15:58:57.980247835Z		2024-08-15T15:59:04.17712146Z	6196873625
3	16	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	oYXPw(rp/1.yaXLlXiXcmdIXU8l.rnd		2024-08-15T15:58:57.980310828Z		2024-08-15T15:59:04.621703732Z	6641392904
4	8	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	GrdpbXHA/1.8fWCFmh)7AwjlW86.rnd		2024-08-15T15:58:57.980364114Z		2024-08-15T15:59:06.056637262Z	8076273148
5	2	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	QhE7LfCk/1.i4nhRARHVAoP2mM8.rnd		2024-08-15T15:58:57.98038751Z		2024-08-15T15:59:07.441217544Z	9460830034
6	14	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	3(2FDmYF/1.2b3JXaj3HM5W3x4C.rnd		2024-08-15T15:58:57.980446313Z		2024-08-15T15:59:03.408944084Z	5428497771
7	13	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	dszImGHO/1.US23Jph4u2mZNt8H.rnd		2024-08-15T15:58:57.980489543Z		2024-08-15T15:59:04.834822595Z	6854333052
8	3	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	kixXUu4T/1.FyGOUTGwQUlI18XI.rnd		2024-08-15T15:58:57.980519573Z		2024-08-15T15:59:02.550234645Z	4569715072
9	1	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	N9MwvgcP/1.yfDU7wbthtqSfpIZ.rnd		2024-08-15T15:58:57.980549673Z		2024-08-15T15:59:03.887096704Z	5906547031
10	15	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	5yzSfhyE/1.40dw6W2b1mhKwhY5.rnd		2024-08-15T15:58:57.980573209Z		2024-08-15T15:59:03.546842306Z	5566269097
11	7	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	o)m5a0R7/1.tjS9IEhLZq39wytr.rnd		2024-08-15T15:58:57.980646887Z		2024-08-15T15:59:07.133056495Z	9152409608
12	18	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	oMi5KdkE/1.VIc9fazvURJBXKSo.rnd		2024-08-15T15:58:57.980709252Z		2024-08-15T15:59:02.406453087Z	4425743835
13	0	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	JxjOwHcW/1.W(nEDgUKS1da(0Ga.rnd		2024-08-15T15:58:57.980716096Z		2024-08-15T15:59:02.332898425Z	4352182329
14	12	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	qBD6Zaaf/1.Cot7EAhTrzbcqelO.rnd		2024-08-15T15:58:57.980737327Z		2024-08-15T15:59:06.448518897Z	8467781570
15	19	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	At2VO4kF/1.ATk0Y8YyNNptUSNL.rnd		2024-08-15T15:58:57.980780277Z		2024-08-15T15:59:03.106727903Z	5125947626
16	10	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	)7A3BbfH/1.UatYzUP1fQaXl(wI.rnd		2024-08-15T15:58:57.980852559Z		2024-08-15T15:59:04.695702422Z	6714849863
17	9	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	)5XulQvG/1.RWtABAmswgzTG8(S.rnd		2024-08-15T15:58:57.980866736Z		2024-08-15T15:59:04.865225665Z	6884358929
18	17	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	dioIfiMU/1.QcO7jCtB(lPb()Sl.rnd		2024-08-15T15:58:57.980896487Z		2024-08-15T15:59:03.309391923Z	5328495436
19	6	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	hTDrgVMa/1.FeLh8epO1d)d8XwS.rnd		2024-08-15T15:58:57.981021636Z		2024-08-15T15:59:07.008206816Z	9027185180
20	0	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	JxjOwHcW/2.(VTfZiBkMhxmuDDe.rnd		2024-08-15T15:59:02.332923986Z		2024-08-15T15:59:06.132170776Z	3799246790
21	18	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	oMi5KdkE/2.siWH4NhjXNRArZvI.rnd		2024-08-15T15:59:02.406470965Z		2024-08-15T15:59:06.266462092Z	3859991127
22	3	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	kixXUu4T/2.4(vGCUnNy8llqYBi.rnd		2024-08-15T15:59:02.550255038Z		2024-08-15T15:59:06.585377027Z	4035121989
23	19	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	At2VO4kF/2.0YmjjIzX4mGhiCLq.rnd		2024-08-15T15:59:03.106752416Z		2024-08-15T15:59:07.712619594Z	4605867178
24	17	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	dioIfiMU/2.p)NXpSOrpJsEsA77.rnd		2024-08-15T15:59:03.309408335Z		2024-08-15T15:59:08.138866193Z	4829457858
25	14	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	3(2FDmYF/2.NW9v(o9apg0MTLyg.rnd		2024-08-15T15:59:03.408960776Z		2024-08-15T15:59:08.147386252Z	4738425476
26	15	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	5yzSfhyE/2.rqIDqU4zjVotxX0(.rnd		2024-08-15T15:59:03.546859556Z		2024-08-15T15:59:08.602860624Z	5056001068
27	1	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	N9MwvgcP/2.ZLtrc2gygpqzPBX1.rnd		2024-08-15T15:59:03.887129598Z		2024-08-15T15:59:12.275825989Z	8388696391
28	4	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	MX4oeDbF/2.iYlvzIQzWuCuG6DV.rnd		2024-08-15T15:59:04.17714325Z		2024-08-15T15:59:11.49756501Z	7320421760
29	16	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	oYXPw(rp/2.zK8OKVygHKoBIX1K.rnd		2024-08-15T15:59:04.62172615Z		2024-08-15T15:59:10.798274261Z	6176548111
30	10	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	)7A3BbfH/2.kLLWJg3WI(Bvwu30.rnd		2024-08-15T15:59:04.695722605Z		2024-08-15T15:59:11.846079189Z	7150356584
31	13	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	dszImGHO/2.4nvH84IX1aNwJ0yZ.rnd		2024-08-15T15:59:04.834839146Z		2024-08-15T15:59:10.903734134Z	6068894988
32	9	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	)5XulQvG/2.llTlN7nRmEWoV6O2.rnd		2024-08-15T15:59:04.865242007Z		2024-08-15T15:59:13.837016462Z	8971774455
33	8	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	GrdpbXHA/2.rOwmaCpBWYxyV(OF.rnd		2024-08-15T15:59:06.056661286Z		2024-08-15T15:59:17.141254572Z	11084593286
34	0	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	JxjOwHcW/3.MmGtWLTqguICYmPT.rnd		2024-08-15T15:59:06.132187328Z		2024-08-15T15:59:09.837991816Z	3705804488
35	11	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	nK1n1hAK/2.uF3XaGQ6ibwttnhz.rnd		2024-08-15T15:59:06.177380136Z		2024-08-15T15:59:13.570756696Z	7393376560
36	18	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	oMi5KdkE/3.iTUCLWWdgeAcUtLX.rnd		2024-08-15T15:59:06.266479482Z		2024-08-15T15:59:10.128646025Z	3862166543
37	12	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	qBD6Zaaf/2.t4XHtZFm2g9TD1ZR.rnd		2024-08-15T15:59:06.448537683Z		2024-08-15T15:59:14.301260221Z	7852722538
38	3	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	kixXUu4T/3.MZvpM0hzjg5subxU.rnd		2024-08-15T15:59:06.585396302Z		2024-08-15T15:59:10.611927534Z	4026531232
39	6	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	hTDrgVMa/2.eQ7ow1OCz3O7gG7P.rnd		2024-08-15T15:59:07.008231119Z		2024-08-15T15:59:14.764697145Z	7756466026
40	5	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	bGlLrsqw/2.J6NyrpvGL(35AM7W.rnd		2024-08-15T15:59:07.030543982Z		2024-08-15T15:59:16.594417401Z	9563873419
41	7	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	o)m5a0R7/2.id3IvnV1g46F3MSa.rnd		2024-08-15T15:59:07.133074793Z		2024-08-15T15:59:14.923069828Z	7789995035
42	2	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	QhE7LfCk/2.FmDMmxjl0EsuG48J.rnd		2024-08-15T15:59:07.44124094Z		2024-08-15T15:59:16.225342721Z	8784101781
43	19	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	At2VO4kF/3.tRe(AytnVY1OOlRA.rnd		2024-08-15T15:59:07.71263845Z		2024-08-15T15:59:12.553817229Z	4841178779
44	17	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	dioIfiMU/3.2qsiV6sC76NZW)kW.rnd		2024-08-15T15:59:08.138891055Z		2024-08-15T15:59:13.264431884Z	5125540829
45	14	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	3(2FDmYF/3.jYHF6((hzwoQId8(.rnd		2024-08-15T15:59:08.147403781Z		2024-08-15T15:59:13.278341039Z	5130937258
46	15	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	5yzSfhyE/3.DZbtsESozzRqqrZg.rnd		2024-08-15T15:59:08.602887791Z		2024-08-15T15:59:13.951472479Z	5348584688
47	0	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	JxjOwHcW/4.FUoaqTMkJEut3UXa.rnd		2024-08-15T15:59:09.83801605Z		2024-08-15T15:59:13.804582021Z	3966565971
48	18	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	oMi5KdkE/4.1cHuomkQF8XaB7fQ.rnd		2024-08-15T15:59:10.128665928Z		2024-08-15T15:59:14.216250848Z	4087584920
49	3	PUT	wpvIWj	1	10485760	s3.us-east-1.amazonaws.com	kixXUu4T/4.h7bRmPrpmD47Lfy(.rnd		2024-08-15T15:59:10.611949672Z		2024-08-15T15:59:15.056797347Z	4444847675
